be#was, were; been = быть
beat#beat; beaten = бить
become#became; become = становиться
begin#began; begun = начинать
bleed#bled; bled = кровоточить
blow#blew; blown = дуть
break#broke; broken = ломать
bring#brought; brought = приносить
build#built; built = строить
burn#burnt; burnt = гореть
burst#burst; burst = разразиться
buy#bought; bought = покупать
catch#caught; caught = ловить, хватать
choose#chose; chosen = выбирать
come#came; come = приходить
cost#cost; cost = стоить
creep#crept; crept = ползать
cut#cut; cut = резать
do#did; done = делать
draw#drew; drawn = рисовать, тащить
dream#dreamt; dreamt = мечтать, дремать
drink#drank; drunk = пить
drive#drove; driven = водить
eat#ate; eaten = есть
fall#fell; fallen = падать
feed#fed; fed = кормить
feel#felt; felt = чувствовать
fight#fought; fought = бороться
find#found; found = находить
fit#fit; fit = подходить по размеру
fly#flew; flown = летать
forget#forgot; forgotten = забывать
forgive#forgave; forgiven = прощать
freeze#froze; frozen = замерзать
get#got; got = получать
give#gave; given = давать
go#went; gone = идти
grow#grew; grown = расти
hang#hung; hung = вешать
have#had; had = иметь
hear#heard; heard = слышать
hide#hid; hidden = прятать
hit#hit; hit = попадать в цель
hold#held; held = держать
hurt#hurt; hurt = ушибить
keep#kept; kept = содержать
kneel#knelt; knelt = стоять на коленях
know#knew; known = знать
lay#laid; laid = класть
lead#led; led = вести
lean#leant; leant = наклоняться
learn#learnt; learnt = учить
leave#left; left = оставлять
lend#lent; lent = занимать
let#let; let = позволять
lie#lay; lain = лежать
light#lit; lit = освещать
lose#lost; lost = терять
make#made; made = производить
mean#meant; meant = значить
meet#met; met = встречать
mistake#mistook; mistaken = ошибаться
pay#paid; paid = платить
prove#proved; proven = доказывать
put#put; put = положить
quit#quit; quit = выходить
read#read; read = читать
ride#rode; ridden = ездить верхом
ring#rang; rung = звенеть
rise#rose; risen = подниматься
run#ran; run = бежать
say#said; said = говорить
see#saw; seen = видеть
seek#sought; sought = искать
sell#sold; sold = продавать
send#sent; sent = посылать
set#set; set = ставить
sew#sewed; sewn = шить
shake#shook; shaken = встряхивать
show#showed; shown = показывать
shrink#shrank; shrunk = уменьшать
shut#shut; shut = закрывать
sing#sang; sung = петь
sink#sank, sunk; sunk = тонуть
sit#sat; sat = сидеть
sleep#slept; slept = спать
slide#slid; slid = скользить
sow#sowed; sown = сеять
speak#spoke; spoken = говорить
spell#spelt; spelt = произносить по буквам
spend#spent; spent = тратить
spill#spilt; spilt = проливать
spoil#spoilt; spoilt = портить
spread#spread; spread = расстилать
spring#sprang; sprung = прыгать
stand#stood; stood = стоять
steal#stole; stolen = красть
stick#stuck; stuck = колоть
sting#stung; stung = жалить
sweep#swept; swept = выметать
swell#swelled; swollen = разбухать
swim#swam; swum = плавать
swing#swung; swung = качать
take#took; taken = брать, взять
teach#taught; taught = учить
tear#tore; torn = рвать
tell#told; told = рассказывать
think#thought; thought = думать
throw#threw; thrown = бросать
understand#understood; understood = понимать
wake#woke; woken = просыпаться
wear#wore; worn = носить
weep#wept; wept = плакать
wet#wet; wet = мочить
win#won; won = выигрывать
wind#wound; wound = извиваться
write#wrote; written = писать
